"Common_name","Year","positive_tow"
"arrowtooth flounder",2003,193
"arrowtooth flounder",2004,172
"arrowtooth flounder",2005,216
"arrowtooth flounder",2006,189
"arrowtooth flounder",2007,227
"arrowtooth flounder",2008,229
"arrowtooth flounder",2009,235
"arrowtooth flounder",2010,266
"arrowtooth flounder",2011,267
"arrowtooth flounder",2012,249
"arrowtooth flounder",2013,185
"arrowtooth flounder",2014,273
"arrowtooth flounder",2015,278
"arrowtooth flounder",2016,286
"arrowtooth flounder",2017,268
"arrowtooth flounder",2018,232
"arrowtooth flounder",2019,123
"aurora rockfish",2003,67
"aurora rockfish",2004,55
"aurora rockfish",2005,89
"aurora rockfish",2006,87
"aurora rockfish",2007,94
"aurora rockfish",2008,119
"aurora rockfish",2009,88
"aurora rockfish",2010,92
"aurora rockfish",2011,94
"aurora rockfish",2012,101
"aurora rockfish",2013,58
"aurora rockfish",2014,84
"aurora rockfish",2015,90
"aurora rockfish",2016,91
"aurora rockfish",2017,91
"aurora rockfish",2018,100
"aurora rockfish",2019,36
"bank rockfish",2003,4
"bank rockfish",2004,8
"bank rockfish",2005,11
"bank rockfish",2006,11
"bank rockfish",2007,15
"bank rockfish",2008,17
"bank rockfish",2009,12
"bank rockfish",2010,13
"bank rockfish",2011,16
"bank rockfish",2012,9
"bank rockfish",2013,14
"bank rockfish",2014,18
"bank rockfish",2015,18
"bank rockfish",2016,16
"bank rockfish",2017,14
"bank rockfish",2018,13
"bank rockfish",2019,6
"big skate",2003,63
"big skate",2004,84
"big skate",2005,103
"big skate",2006,68
"big skate",2007,78
"big skate",2008,55
"big skate",2009,85
"big skate",2010,130
"big skate",2011,104
"big skate",2012,107
"big skate",2013,85
"big skate",2014,151
"big skate",2015,136
"big skate",2016,105
"big skate",2017,125
"big skate",2018,123
"big skate",2019,56
"black rockfish",2004,1
"black rockfish",2009,2
"black rockfish",2010,1
"black rockfish",2015,1
"black rockfish",2016,1
"black rockfish",2017,2
"black rockfish",2019,1
"blackgill rockfish",2003,22
"blackgill rockfish",2004,20
"blackgill rockfish",2005,28
"blackgill rockfish",2006,35
"blackgill rockfish",2007,30
"blackgill rockfish",2008,44
"blackgill rockfish",2009,40
"blackgill rockfish",2010,45
"blackgill rockfish",2011,44
"blackgill rockfish",2012,43
"blackgill rockfish",2013,31
"blackgill rockfish",2014,38
"blackgill rockfish",2015,40
"blackgill rockfish",2016,34
"blackgill rockfish",2017,38
"blackgill rockfish",2018,45
"blackgill rockfish",2019,16
"blue rockfish",2003,2
"blue rockfish",2008,1
"blue rockfish",2013,3
"blue rockfish",2016,1
"bocaccio",2003,38
"bocaccio",2004,30
"bocaccio",2005,41
"bocaccio",2006,38
"bocaccio",2007,30
"bocaccio",2008,25
"bocaccio",2009,24
"bocaccio",2010,37
"bocaccio",2011,22
"bocaccio",2012,48
"bocaccio",2013,46
"bocaccio",2014,98
"bocaccio",2015,58
"bocaccio",2016,81
"bocaccio",2017,74
"bocaccio",2018,76
"bocaccio",2019,42
"brown rockfish",2003,8
"brown rockfish",2004,6
"brown rockfish",2005,5
"brown rockfish",2006,4
"brown rockfish",2007,1
"brown rockfish",2008,2
"brown rockfish",2009,2
"brown rockfish",2010,3
"brown rockfish",2011,7
"brown rockfish",2012,8
"brown rockfish",2013,5
"brown rockfish",2014,5
"brown rockfish",2015,7
"brown rockfish",2016,6
"brown rockfish",2017,6
"brown rockfish",2018,12
"brown rockfish",2019,4
"cabezon",2008,1
"cabezon",2016,1
"cabezon",2017,1
"cabezon",2018,1
"California scorpionfish",2003,9
"California scorpionfish",2004,12
"California scorpionfish",2005,8
"California scorpionfish",2006,11
"California scorpionfish",2007,12
"California scorpionfish",2008,12
"California scorpionfish",2009,11
"California scorpionfish",2010,10
"California scorpionfish",2011,16
"California scorpionfish",2012,9
"California scorpionfish",2013,8
"California scorpionfish",2014,6
"California scorpionfish",2015,15
"California scorpionfish",2016,12
"California scorpionfish",2017,13
"California scorpionfish",2018,23
"California scorpionfish",2019,13
"canary rockfish",2003,50
"canary rockfish",2004,37
"canary rockfish",2005,53
"canary rockfish",2006,32
"canary rockfish",2007,48
"canary rockfish",2008,35
"canary rockfish",2009,32
"canary rockfish",2010,51
"canary rockfish",2011,46
"canary rockfish",2012,56
"canary rockfish",2013,38
"canary rockfish",2014,75
"canary rockfish",2015,77
"canary rockfish",2016,80
"canary rockfish",2017,84
"canary rockfish",2018,65
"canary rockfish",2019,40
"chilipepper",2003,86
"chilipepper",2004,80
"chilipepper",2005,87
"chilipepper",2006,70
"chilipepper",2007,68
"chilipepper",2008,80
"chilipepper",2009,81
"chilipepper",2010,106
"chilipepper",2011,84
"chilipepper",2012,104
"chilipepper",2013,95
"chilipepper",2014,127
"chilipepper",2015,103
"chilipepper",2016,111
"chilipepper",2017,93
"chilipepper",2018,94
"chilipepper",2019,52
"copper rockfish",2003,8
"copper rockfish",2004,5
"copper rockfish",2005,5
"copper rockfish",2006,3
"copper rockfish",2007,5
"copper rockfish",2008,11
"copper rockfish",2009,7
"copper rockfish",2010,10
"copper rockfish",2011,4
"copper rockfish",2012,19
"copper rockfish",2013,9
"copper rockfish",2014,8
"copper rockfish",2015,9
"copper rockfish",2016,9
"copper rockfish",2017,12
"copper rockfish",2018,11
"copper rockfish",2019,7
"cowcod",2003,7
"cowcod",2004,21
"cowcod",2005,21
"cowcod",2006,11
"cowcod",2007,9
"cowcod",2008,11
"cowcod",2009,14
"cowcod",2010,30
"cowcod",2011,20
"cowcod",2012,24
"cowcod",2013,12
"cowcod",2014,22
"cowcod",2015,17
"cowcod",2016,32
"cowcod",2017,17
"cowcod",2018,32
"cowcod",2019,16
"darkblotched rockfish",2003,101
"darkblotched rockfish",2004,92
"darkblotched rockfish",2005,112
"darkblotched rockfish",2006,130
"darkblotched rockfish",2007,132
"darkblotched rockfish",2008,111
"darkblotched rockfish",2009,126
"darkblotched rockfish",2010,117
"darkblotched rockfish",2011,110
"darkblotched rockfish",2012,102
"darkblotched rockfish",2013,89
"darkblotched rockfish",2014,116
"darkblotched rockfish",2015,132
"darkblotched rockfish",2016,119
"darkblotched rockfish",2017,125
"darkblotched rockfish",2018,105
"darkblotched rockfish",2019,57
"deacon rockfish",2019,1
"Dover sole",2003,444
"Dover sole",2004,406
"Dover sole",2005,552
"Dover sole",2006,529
"Dover sole",2007,579
"Dover sole",2008,554
"Dover sole",2009,544
"Dover sole",2010,601
"Dover sole",2011,572
"Dover sole",2012,560
"Dover sole",2013,414
"Dover sole",2014,579
"Dover sole",2015,569
"Dover sole",2016,582
"Dover sole",2017,588
"Dover sole",2018,593
"Dover sole",2019,291
"English sole",2003,223
"English sole",2004,214
"English sole",2005,288
"English sole",2006,229
"English sole",2007,239
"English sole",2008,235
"English sole",2009,245
"English sole",2010,286
"English sole",2011,300
"English sole",2012,300
"English sole",2013,206
"English sole",2014,313
"English sole",2015,306
"English sole",2016,310
"English sole",2017,322
"English sole",2018,286
"English sole",2019,150
"flag rockfish",2003,6
"flag rockfish",2004,8
"flag rockfish",2005,5
"flag rockfish",2006,9
"flag rockfish",2007,13
"flag rockfish",2008,8
"flag rockfish",2009,11
"flag rockfish",2010,8
"flag rockfish",2011,4
"flag rockfish",2012,6
"flag rockfish",2013,4
"flag rockfish",2014,5
"flag rockfish",2015,5
"flag rockfish",2016,8
"flag rockfish",2017,7
"flag rockfish",2018,9
"flag rockfish",2019,3
"flathead sole",2003,52
"flathead sole",2004,44
"flathead sole",2005,42
"flathead sole",2006,50
"flathead sole",2007,27
"flathead sole",2008,25
"flathead sole",2009,39
"flathead sole",2010,55
"flathead sole",2011,52
"flathead sole",2012,49
"flathead sole",2013,33
"flathead sole",2014,77
"flathead sole",2015,101
"flathead sole",2016,75
"flathead sole",2017,76
"flathead sole",2018,65
"flathead sole",2019,31
"gopher rockfish",2005,1
"gopher rockfish",2006,2
"gopher rockfish",2009,1
"gopher rockfish",2010,3
"gopher rockfish",2011,1
"gopher rockfish",2012,5
"gopher rockfish",2013,1
"gopher rockfish",2017,1
"gopher rockfish",2018,1
"greenspotted rockfish",2003,34
"greenspotted rockfish",2004,26
"greenspotted rockfish",2005,30
"greenspotted rockfish",2006,43
"greenspotted rockfish",2007,40
"greenspotted rockfish",2008,41
"greenspotted rockfish",2009,50
